,Фишинг,Компания,Время
483,https://pxlme.me/zTnTaNB6,"DHL Airways, Inc.",16:30:23
484,http://cboamerca.com/en/index.html,Bank of America,16:30:10
510,http://ad50.xyz/,Generic/Spear Phishing,16:33:16
540,https://ageckocan.com.au/edw/sfg/qwe/app/login.php,Generic/Spear Phishing,16:41:33
541,https://mydhl-express.net/tracking/fV5EjH/msg.php?id=30014453,"DHL Airways, Inc.",16:41:27
542,http://trwingsiadehizmetlerimart2023tr5.com/Login/index.php?lang=en,Government of Turkey,16:41:26
543,https://psypay-basnk.com/index2.asp,PayPay,16:40:55
570,https://fqwujqwjh.godaddysites.com/,AT&T Inc.,16:46:59
571,http://nftauth.ru/,VKontakte,16:46:56
572,http://u1950395.plsk.regruhosting.ru/s/1589085355/,"Facebook, Inc.",16:45:36
573,http://webmailpenteledataptdsupport56e45678y8u.weebly.com/,Generic/Spear Phishing,16:45:13
574,https://stearncommunillty.com/offtrade/new/partner=43645237&token=sdfgdfa,Steam,16:44:56
575,https://demo2.cloudwp.dev/trial-t5xz8uy4/idconfza85/info.html,"DHL Airways, Inc.",16:44:24
576,https://demo2.cloudwp.dev/trial-u73v0xzy/knoesriv63/forsapp/Signin,Apple Inc.,16:42:56
600,https://aol-103209.weeblysite.com/,AOL Inc.,16:50:26
601,https://silkyseagreenprojector.informationsper.repl.co/,"Facebook, Inc.",16:47:55
602,http://www.836594x.com/,Bet365,16:47:03
630,https://aol-102607.weeblysite.com/,AOL Inc.,16:56:51
660,https://aol-102115.weeblysite.com/,AOL Inc.,17:00:22
690,https://staencommunlty.com/proflies/76561197960279900,Steam,17:04:06
691,http://neuquenwebonline.com/,Generic/Spear Phishing,17:03:03
